股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
000768,202512,1.454746300742951,000768.SZ,中航西飞,陕西,航空,中航西安飞机工业集团股份有限公司,Avic Xi’An Aircraft Industry Group Company Ltd.,ZHXF,主板,SZSE,19970626,国务院国有资产监督管理委员会,中央企业
002650,202512,1.454743685064536,002650.SZ,ST加加,湖南,食品,加加食品集团股份有限公司,"Jiajia Food Group Co., Ltd.",STJJ,主板,SZSE,20120106,无实际控制人,其他
605158,202512,1.4535303904587766,605158.SH,华达新材,浙江,钢加工,浙江华达新型材料股份有限公司,"Zhejiang Huada New Materials Co., Ltd.",HDXC,主板,SSE,20200805,邵明祥,民营企业
600999,202512,1.4526434763918707,600999.SH,招商证券,深圳,证券,招商证券股份有限公司,"China Merchants Securities Co.,Ltd.",ZSZQ,主板,SSE,20091117,国务院国有资产监督管理委员会,中央企业
600926,202512,1.4516486407048188,600926.SH,杭州银行,浙江,银行,杭州银行股份有限公司,"Bank Of Hangzhou Co., Ltd.",HZYH,主板,SSE,20161027,无实际控制人,其他
603213,202512,1.4497695066292762,603213.SH,镇洋发展,浙江,化工原料,浙江镇洋发展股份有限公司,"Zhejiang Oceanking Development Co., Ltd.",ZYFZ,主板,SSE,20211111,浙江省交通投资集团有限公司,地方国有企业
600084,202512,1.4477798352551725,600084.SH,中信尼雅,新疆,红黄酒,中信尼雅葡萄酒股份有限公司,"Citic Niya Wine Co.,ltd",ZXNY,主板,SSE,19970711,中国中信集团有限公司,中央企业
000898,202512,1.4470060741652429,000898.SZ,鞍钢股份,辽宁,普钢,鞍钢股份有限公司,Angang Steel Company Limited,AGGF,主板,SZSE,19971225,国务院国有资产监督管理委员会,中央企业
000403,202512,1.4439136454839407,000403.SZ,派林生物,山西,生物制药,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co.,LTD",PLSW,主板,SZSE,19960628,陕西省人民政府国有资产监督管理委员会,地方国有企业
601963,202512,1.4438004925069643,601963.SH,重庆银行,重庆,银行,重庆银行股份有限公司,"Bank Of Chongqing Co.,Ltd.",CQYH,主板,SSE,20210205,无实际控制人,其他
600265,202512,1.4415923622141529,600265.SH,ST景谷,云南,林业,云南景谷林业股份有限公司,"Yunnan Jinggu Forestry Co.,ltd",STJG,主板,SSE,20000825,郑家纯,外资
603693,202512,1.4403048981940112,603693.SH,江苏新能,江苏,新型电力,江苏省新能源开发股份有限公司,"Jiangsu New Energy Development Co., Ltd.",JSXN,主板,SSE,20180703,江苏省人民政府,地方国有企业
600519,202512,1.4403048981940112,600519.SH,贵州茅台,贵州,白酒,贵州茅台酒股份有限公司,"Kweichow Moutai Co.,Ltd.",GZMT,主板,SSE,20010827,贵州省人民政府国有资产监督管理委员会,地方国有企业
600548,202512,1.4403048981940112,600548.SH,深高速,深圳,路桥,深圳高速公路集团股份有限公司,Shenzhen Expressway Corporation Limited,SGS,主板,SSE,20011225,深圳市人民政府国有资产监督管理委员会,地方国有企业
002595,202512,1.4403048981940112,002595.SZ,豪迈科技,山东,专用机械,山东豪迈机械科技股份有限公司,"Himile Mechanical Science and Technology (Shandong) Co.,Ltd",HMKJ,主板,SZSE,20110628,张恭运,民营企业
002461,202512,1.4403048981940112,002461.SZ,珠江啤酒,广东,啤酒,广州珠江啤酒股份有限公司,"Guangzhou Zhujiang Brewery Co.,Ltd.",ZJPJ,主板,SZSE,20100818,广州市人民政府国有资产监督管理委员会,地方国有企业
002252,202512,1.4403048981940112,002252.SZ,上海莱士,上海,生物制药,上海莱士血液制品股份有限公司,"Shanghai RAAS Blood Products Co., Ltd.",SHLS,主板,SZSE,20080623,海尔集团公司,集体企业
601998,202512,1.4403048981940112,601998.SH,中信银行,北京,银行,中信银行股份有限公司,China CITIC Bank Corporation Limited,ZXYH,主板,SSE,20070427,中国中信集团有限公司,中央企业
601390,202512,1.4403048981940112,601390.SH,中国中铁,北京,建筑工程,中国中铁股份有限公司,China Railway Group Limited,ZGZT,主板,SSE,20071203,国务院国有资产监督管理委员会,中央企业
601668,202512,1.4403048981940112,601668.SH,中国建筑,北京,建筑工程,中国建筑股份有限公司,China State Construction Engineering Corporation Limited,ZGJZ,主板,SSE,20090729,国务院国有资产监督管理委员会,中央企业
600817,202512,1.4403048981940112,600817.SH,宇通重工,河南,专用机械,宇通重工股份有限公司,"Yutong Heavy Industries Co.,Ltd.",YTZG,主板,SSE,19940128,汤玉祥,民营企业
000166,202512,1.4403048981940112,000166.SZ,申万宏源,新疆,证券,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",SWHY,主板,SZSE,20150126,中央汇金投资有限责任公司,中央企业
600039,202512,1.4403048981940112,600039.SH,四川路桥,四川,建筑工程,四川路桥建设集团股份有限公司,"Sichuan Road & Bridge Group Co.,Ltd.",SCLQ,主板,SSE,20030325,四川省政府国有资产监督管理委员会,地方国有企业
000963,202512,1.4403048981940112,000963.SZ,华东医药,浙江,化学制药,华东医药股份有限公司,"Huadong Medicine Co.,Ltd.",HDYY,主板,SZSE,20000127,胡凯军,民营企业
600248,202512,1.4403048981940112,600248.SH,陕建股份,陕西,建筑工程,陕西建工集团股份有限公司,Shaanxi Construction Engineering Group Corporation Limited,SJGF,主板,SSE,20000622,陕西省人民政府国有资产监督管理委员会,地方国有企业
600061,202512,1.4403048981940112,600061.SH,国投资本,上海,证券,国投资本股份有限公司,"SDIC Capital Co., Ltd.",GTZB,主板,SSE,19970519,国务院国有资产监督管理委员会,中央企业
000877,202512,1.4403048981940112,000877.SZ,天山股份,新疆,水泥,天山材料股份有限公司,"Tianshan Material Co., Ltd.",TSGF,主板,SZSE,19990107,国务院国有资产监督管理委员会,中央企业
000869,202512,1.4403048981940112,000869.SZ,张裕Ａ,山东,红黄酒,烟台张裕葡萄酿酒股份有限公司,Yantai Changyu Pioneer Wine Company Limited,ZYA,主板,SZSE,20001026,张裕集团及本公司中层以上员工26人,其他
002880,202512,1.4403048981940112,002880.SZ,卫光生物,深圳,生物制药,深圳市卫光生物制品股份有限公司,"Shen Zhen Weiguang Biological Products Co.,Ltd",WGSW,主板,SZSE,20170616,深圳市光明区人民政府,地方国有企业
002736,202512,1.4403048981940112,002736.SZ,国信证券,深圳,证券,国信证券股份有限公司,"Guosen Securities Co.,Ltd",GXZQ,主板,SZSE,20141229,深圳市人民政府国有资产监督管理委员会,地方国有企业
603869,202512,1.4403048981940112,603869.SH,ST智知,广西,软件服务,新智认知数字科技股份有限公司,"ENC Digital Technology Co., Ltd",STZZ,主板,SSE,20150326,王玉锁,民营企业
603156,202512,1.4403048981940112,603156.SH,养元饮品,河北,软饮料,河北养元智汇饮品股份有限公司,"Hebei Yangyuan Zhihui Beverage Co., Ltd.",YYYP,主板,SSE,20180212,姚奎章,民营企业
001289,202512,1.4403048981940112,001289.SZ,龙源电力,北京,新型电力,龙源电力集团股份有限公司,China Longyuan Power Group Corporation Limited,LYDL,主板,SZSE,20220124,国务院国有资产监督管理委员会,中央企业
601728,202512,1.4403048981940112,601728.SH,中国电信,北京,电信运营,中国电信股份有限公司,China Telecom Corporation Limited,ZGDX,主板,SSE,20210820,国务院国有资产监督管理委员会,中央企业
605499,202512,1.4403048981940112,605499.SH,东鹏饮料,深圳,软饮料,东鹏饮料(集团)股份有限公司,"Eastroc Beverage (Group) Co., Ltd.",DPYL,主板,SSE,20210527,林木勤,民营企业
001213,202512,1.4403048981940112,001213.SZ,中铁特货,北京,铁路,中铁特货物流股份有限公司,"China Railway Special Cargo Logistics Co., Ltd.",ZTTH,主板,SZSE,20210908,中国国家铁路集团有限公司,中央企业
603733,202512,1.4403048981940112,603733.SH,仙鹤股份,浙江,造纸,仙鹤股份有限公司,"Xianhe Co.,Ltd.",XHGF,主板,SSE,20180420,王敏良,民营企业
605296,202512,1.4403048981940112,605296.SH,神农集团,云南,农业综合,云南神农农业产业集团股份有限公司,"Yunnan Shennong Agricultural Industry Group Co.,Ltd.",SNJT,主板,SSE,20210528,何祖训,民营企业
601995,202512,1.4403048981940112,601995.SH,中金公司,北京,证券,中国国际金融股份有限公司,China International Capital Corporation Limited,ZJGS,主板,SSE,20201102,中央汇金投资有限责任公司,中央企业
002294,202512,1.4403048981940112,002294.SZ,信立泰,深圳,化学制药,深圳信立泰药业股份有限公司,"Shenzhen Salubris Pharmaceuticals Co.,Ltd.",XLT,主板,SZSE,20090910,叶澄海,民营企业
601598,202512,1.4403048981940112,601598.SH,中国外运,北京,仓储物流,中国外运股份有限公司,Sinotrans Limited,ZGWY,主板,SSE,20190118,国务院国有资产监督管理委员会,中央企业
002945,202512,1.4403048981940112,002945.SZ,华林证券,西藏,证券,华林证券股份有限公司,"ChinaLin Securities Co.,Ltd.",HLZQ,主板,SZSE,20190117,林立,民营企业
