股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
002161,202602,2.883822813123649,002161.SZ,远望谷,深圳,通信设备,深圳市远望谷信息技术股份有限公司,"Invengo Information Technology Co., Ltd.",YWG,主板,SZSE,20070821,徐玉锁,民营企业
605598,202602,2.8836912283257194,605598.SH,上海港湾,上海,建筑工程,上海港湾基础建设(集团)股份有限公司,"Shanghai Geoharbour Construction Group Co., Ltd.",SHGW,主板,SSE,20210917,徐士龙,民营企业
600470,202602,2.8836643809717173,600470.SH,六国化工,安徽,农药化肥,安徽六国化工股份有限公司,"Anhui Liuguo Chemical Co.,Ltd",LGHG,主板,SSE,20040305,无实际控制人,其他
002760,202602,2.883530144201706,002760.SZ,凤形股份,江西,机械基件,凤形股份有限公司,"Fengxing Co.,Ltd.",FXGF,主板,SZSE,20150611,徐茂华,民营企业
000863,202602,2.8832321713355995,000863.SZ,三湘印象,上海,区域地产,三湘印象股份有限公司,"Sanxiang Impression Co.,Ltd.",SXYX,主板,SZSE,19970925,黄辉,民营企业
600686,202602,2.8831811285996767,600686.SH,金龙汽车,福建,汽车整车,厦门金龙汽车集团股份有限公司,"Xiamen King Long Motor Group Co., Ltd.",JLQC,主板,SSE,19931108,福建省人民政府国有资产监督管理委员会,地方国有企业
601698,202602,2.882993197121661,601698.SH,中国卫通,北京,电信运营,中国卫通集团股份有限公司,"China Satellite Communications Co.,Ltd.",ZGWT,主板,SSE,20190628,中国航天科技集团有限公司,中央企业
600635,202602,2.8828884596777336,600635.SH,大众公用,上海,供气供热,上海大众公用事业(集团)股份有限公司,"Shanghai Dazhong Public Utilities (Group) Co.,Ltd.",DZGY,主板,SSE,19930304,上海大众职工持股会,其他
603161,202602,2.8828616123237314,603161.SH,科华控股,江苏,汽车配件,科华控股股份有限公司,"Kehua Holdings Co., Ltd.",KHKG,主板,SSE,20180105,卢红萍,民营企业
002651,202602,2.8828321129976477,002651.SZ,利君股份,四川,航空,成都利君实业股份有限公司,"Chengdu Leejun Industrial CO., LTD.",LJGF,主板,SZSE,20120106,何亚民,民营企业
002969,202602,2.882534140131541,002969.SZ,嘉美包装,安徽,广告包装,嘉美食品包装(滁州)股份有限公司,"Jiamei Food Packaging (Chuzhou) Co.,Ltd.",JMBZ,主板,SZSE,20191202,陈民,外资
600203,202602,2.88239990336153,600203.SH,福日电子,福建,元器件,福建福日电子股份有限公司,"Fujian Furi Electronics Co.,Ltd.",FRDZ,主板,SSE,19990514,福建省人民政府国有资产监督管理委员会,地方国有企业
600157,202602,2.882297817889684,600157.SH,永泰能源,山西,火力发电,永泰能源集团股份有限公司,"Wintime Energy Group Co.,Ltd.",YTNY,主板,SSE,19980513,王广西,民营企业
002799,202602,2.882134081793589,002799.SZ,环球印务,陕西,广告包装,西安环球印务股份有限公司,"Xi'an Global Printing Co., Ltd.",HQYW,主板,SZSE,20160608,陕西省人民政府国有资产监督管理委员会,地方国有企业
002571,202602,2.8818066096013983,002571.SZ,德力股份,安徽,家居用品,安徽德力日用玻璃股份有限公司,"Anhui Deli Housedhold Glass Co.,Ltd",DLGF,主板,SZSE,20110412,施卫东,民营企业
002666,202602,2.881787718163641,002666.SZ,德联集团,广东,化工原料,广东德联集团股份有限公司,"Guangdong Delian Group Co., Ltd",DLJT,主板,SZSE,20120327,徐咸大,民营企业
001209,202602,2.88156763538746,001209.SZ,洪兴股份,广东,服饰,广东洪兴实业股份有限公司,"Guangdong Hongxing Industrial Co., Ltd.",HXGF,主板,SZSE,20210723,郭秋洪,民营企业
600843,202602,2.8813770519373625,600843.SH,上工申贝,上海,纺织机械,上工申贝(集团)股份有限公司,"Shang Gong Group Co.,Ltd.",SGSB,主板,SSE,19940311,无实际控制人,其他
002239,202602,2.8809822975435737,002239.SZ,奥特佳,江苏,汽车配件,奥特佳新能源科技集团股份有限公司,"Aotecar New Energy Technology Group Co., Ltd.",ATJ,主板,SZSE,20080522,湖北省人民政府国有资产监督管理委员会,地方国有企业
002197,202602,2.8808401048573176,002197.SZ,证通电子,深圳,IT设备,深圳市证通电子股份有限公司,"SZZT Electronics Co.,Ltd",ZTDZ,主板,SZSE,20071218,曾胜强,民营企业
600493,202602,2.880767518711556,600493.SH,凤竹纺织,福建,纺织,福建凤竹纺织科技股份有限公司,"Fujian Fynex Textile Science & Technology Co.,Ltd.",FZFZ,主板,SSE,20040421,陈澄清,民营企业
002256,202602,2.880762214767392,002256.SZ,兆新股份,深圳,新型电力,深圳市兆新能源股份有限公司,"Zetta Group Co., Ltd.",ZXGF,主板,SZSE,20080625,无实际控制人,其他
000811,202602,2.880391655755524,000811.SZ,冰轮环境,山东,工程机械,冰轮环境技术股份有限公司,"Moon Environment Technology Co.,Ltd.",BLHJ,主板,SZSE,19980528,烟台市人民政府国有资产监督管理委员会,地方国有企业
002373,202602,2.880039988181413,002373.SZ,千方科技,北京,软件服务,北京千方科技股份有限公司,"China TransInfo Technology Co.,Ltd.",QFKJ,主板,SZSE,20100318,夏曙东,民营企业
603678,202602,2.879927294821241,603678.SH,火炬电子,福建,元器件,福建火炬电子科技股份有限公司,"Fujian Torch Electron Technology Co., Ltd.",HJDZ,主板,SSE,20150126,蔡明通,民营企业
002097,202602,2.8791324820895,002097.SZ,山河智能,湖南,工程机械,山河智能装备股份有限公司,"Sunward Intelligent Equipment Co.,Ltd.",SHZN,主板,SZSE,20061222,广州市人民政府,地方国有企业
002996,202602,2.8786412738012146,002996.SZ,顺博合金,重庆,铝,重庆顺博铝合金股份有限公司,"Chongqing Shunbo Aluminum Co.,Ltd.",SBHJ,主板,SZSE,20200828,王增潮,民营企业
605488,202602,2.87858757909321,605488.SH,福莱新材,浙江,塑料,浙江福莱新材料股份有限公司,"Zhejiang Fulai New Material Co., Ltd.",FLXC,主板,SSE,20210513,夏厚君,民营企业
600452,202602,2.8784344508854414,600452.SH,涪陵电力,重庆,水力发电,重庆涪陵电力实业股份有限公司,"Chongqing Fuling Electric Power Industrial Co.,Ltd.",FLDL,主板,SSE,20040303,国务院国有资产监督管理委员会,中央企业
600170,202602,2.878080131339249,600170.SH,上海建工,上海,建筑工程,上海建工集团股份有限公司,"Shanghai Construction Group Co., Ltd.",SHJG,主板,SSE,19980623,上海市国有资产监督管理委员会,地方国有企业
000823,202602,2.8777553111191403,000823.SZ,超声电子,广东,元器件,广东汕头超声电子股份有限公司,"Guangdong Goworld Co.,Ltd.",CSDZ,主板,SZSE,19971008,汕头市人民政府国有资产监督管理委员会,地方国有企业
002902,202602,2.8775378803150407,002902.SZ,铭普光磁,广东,通信设备,东莞铭普光磁股份有限公司,"Dongguan Mentech Optical & Magnetic Co.,Ltd.",MPGC,主板,SZSE,20170929,杨先进,民营企业
002276,202602,2.8774573382530337,002276.SZ,万马股份,浙江,电气设备,浙江万马股份有限公司,"Zhejiang Wanma Co., Ltd.",WMGF,主板,SZSE,20090710,青岛西海岸新区国有资产管理局,地方国有企业
600362,202602,2.8774384468152765,600362.SH,江西铜业,江西,铜,江西铜业股份有限公司,Jiangxi Copper Company Limited,JXTY,主板,SSE,20020111,江西省国有资产监督管理委员会,地方国有企业
002861,202602,2.8773794481631088,002861.SZ,瀛通通讯,湖北,元器件,瀛通通讯股份有限公司,"YingTong Telecommunication Co.,Ltd",YTTX,主板,SZSE,20170413,黄晖,民营企业
601106,202602,2.8773015580731838,601106.SH,中国一重,黑龙江,工程机械,中国第一重型机械股份公司,"China First Heavy Industries Co.,Ltd.",ZGYZ,主板,SSE,20100209,国务院国有资产监督管理委员会,中央企业
002849,202602,2.877213060094932,002849.SZ,威星智能,浙江,电器仪表,浙江威星智能仪表股份有限公司,"Zhejiang Viewshine Intelligent Meter Co.,Ltd",WXZN,主板,SZSE,20170217,黄文谦,民营企业
003026,202602,2.8770867792411656,003026.SZ,中晶科技,浙江,半导体,浙江中晶科技股份有限公司,"Zhejiang MTCN Technology Co.,Ltd.",ZJKJ,主板,SZSE,20201218,徐一俊,民营企业
002741,202602,2.8769230431450703,002741.SZ,光华科技,广东,化工原料,广东光华科技股份有限公司,"Guangdong Guanghua Sci-Tech Co., Ltd.",GHKJ,主板,SZSE,20150216,郑创发,民营企业
600201,202602,2.876713568257216,600201.SH,生物股份,内蒙,农业综合,金宇生物技术股份有限公司,"Jinyu Bio-Technology Co., Ltd.",SWGF,主板,SSE,19990115,无实际控制人,其他
002006,202602,2.8766008748970435,002006.SZ,精工科技,浙江,专用机械,浙江精工集成科技股份有限公司,"Zhejiang Jinggong Integration Technology Co.,Ltd.",JGKJ,主板,SZSE,20040625,方朝阳,民营企业
603072,202602,2.875744411541053,603072.SH,天和磁材,内蒙,矿物制品,包头天和磁材科技股份有限公司,"Baotou Tianhe Magnetics Technology Co.,Ltd.",THCC,主板,SSE,20250103,袁文杰,民营企业
600699,202602,2.875612826743123,600699.SH,均胜电子,浙江,汽车配件,宁波均胜电子股份有限公司,Ningbo Joyson Electronic Corp.,JSDZ,主板,SSE,19931206,王剑峰,民营企业
