ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
399972.SZ,300深市,SZSE,中证指数有限公司,主题指数,20041231,1000,20120621,399972,0
399973.SZ,中证国防,SZSE,中证指数有限公司,主题指数,20110630,1000,20140415,399973,0
399974.SZ,国企改革,SZSE,中证指数有限公司,主题指数,20140331,1000,20140807,399974,0
399975.SZ,证券公司,SZSE,中证指数有限公司,四级行业指数,20070629,1000,20130715,399975,0
399976.SZ,CS新能车,SZSE,中证指数有限公司,主题指数,20111231,1000,20141128,399976,0
399982.SZ,500等权,SZSE,中证指数有限公司,策略指数,20041231,1000,20110613,399982,0
399983.SZ,地产等权,SZSE,中证指数有限公司,策略指数,20041231,1000,20131122,399983,0
399986.SZ,中证银行,SZSE,中证指数有限公司,二级行业指数,20041231,1000,20130715,399986,0
399987.SZ,中证酒,SZSE,中证指数有限公司,主题指数,20081231,1000,20141210,399987,0
399989.SZ,中证医疗,SZSE,中证指数有限公司,主题指数,20041231,1000,20141031,399989,0
399990.SZ,煤炭等权,SZSE,中证指数有限公司,策略指数,20081231,1000,20150121,399990,0
399991.SZ,一带一路,SZSE,中证指数有限公司,主题指数,20121231,1000,20150216,399991,0
399992.SZ,CSWD并购,SZSE,中证指数有限公司,主题指数,20111230,1000,20150508,399992,0
399993.SZ,CSWD生科,SZSE,中证指数有限公司,主题指数,20091231,1000,20150508,399993,0
399994.SZ,信息安全,SZSE,中证指数有限公司,主题指数,20101231,1000,20150312,399994,0
399995.SZ,基建工程,SZSE,中证指数有限公司,行业指数,20041231,1000,20150312,399995,0
399996.SZ,中证智能家居,SZSE,中证指数有限公司,主题指数,20120629,1000,20140917,399996,0
399997.SZ,中证白酒,SZSE,中证指数有限公司,主题指数,20081231,1000,20150121,399997,0
399998.SZ,中证煤炭,SZSE,中证指数有限公司,三级行业指数,20081231,1000,20150213,399998,0
899050.BJ,北证50,OTH,北京证券交易所,规模指数,20220429,1000,20221121,899050,2
899601.BJ,北证专精特新,OTH,北京证券交易所,规模指数,20240628,1000,20250630,899601,2
