date,type,limit,target,price,count,completed
202501,sell,False,000537,8.9,148100,True
202501,sell,False,000539,4.52,290200,True
202501,sell,False,000600,5.45,268700,True
202501,sell,False,000993,8.38,148700,True
202501,sell,False,600027,5.37,266600,True
202501,sell,False,600547,22.35,56400,True
202501,sell,False,600884,7.45,154700,True
202501,sell,False,600955,15.23,90100,True
202501,sell,False,601020,12.64,93700,True
202501,sell,False,603187,10.71,123500,True
202501,buy,False,600795,4.38,298400,True
202501,buy,False,600547,22.35,58400,True
202501,buy,False,605116,20.75,62900,True
202501,buy,False,600759,2.26,578300,True
202501,buy,False,000993,8.38,155900,True
202501,buy,False,600027,5.37,243300,True
202501,buy,False,000543,7.53,173500,True
202501,buy,False,600801,11.64,112200,True
202501,buy,False,000600,5.45,239800,True
202501,buy,False,600884,7.45,175400,True
202502,sell,False,000543,6.89,173500,True
202502,sell,False,000600,5.17,239800,True
202502,sell,False,000993,8.38,155900,True
202502,sell,False,600027,4.95,243300,True
202502,sell,False,600547,24.88,58400,True
202502,sell,False,600759,2.16,578300,True
202502,sell,False,600795,4.0,298400,True
202502,sell,False,600801,11.84,112200,True
202502,sell,False,600884,6.96,175400,True
202502,sell,False,605116,20.08,62900,True
202502,buy,False,000550,21.97,57600,True
202502,buy,False,600795,4.0,316500,True
202502,buy,False,605116,20.08,63000,True
202502,buy,False,000543,6.89,183700,True
202502,buy,False,600547,24.88,50800,True
202502,buy,False,603882,23.92,52900,True
202502,buy,False,600759,2.16,586100,True
202502,buy,False,000625,12.27,103100,True
202502,buy,False,601188,3.35,377900,True
202502,buy,False,600801,11.84,106900,True
202503,sell,False,000543,7.05,183700,True
202503,sell,False,000550,21.57,57600,True
202503,sell,False,000625,12.59,103100,True
202503,sell,False,600547,23.17,50800,True
202503,sell,False,600759,2.24,586100,True
202503,sell,False,600795,4.02,316500,True
202503,sell,False,600801,11.52,106900,True
202503,sell,False,601188,3.16,377900,True
202503,sell,False,603882,34.34,52900,True
202503,sell,False,605116,19.79,63000,True
202503,buy,False,600795,4.02,325700,True
202503,buy,False,600547,23.17,56500,True
202503,buy,False,600312,15.33,85400,True
202503,buy,False,000543,7.05,185700,True
202503,buy,False,605116,19.79,66100,True
202503,buy,False,600886,13.86,94400,True
202503,buy,False,002004,3.66,357700,True
202503,buy,False,000537,8.06,162400,True
202503,buy,False,000598,6.45,202900,True
202503,buy,False,600236,6.02,217400,True
202504,sell,False,000537,8.27,162400,True
202504,sell,False,000543,7.15,185700,True
202504,sell,False,000598,6.6,202900,True
202504,sell,False,002004,3.76,357700,True
202504,sell,False,600236,6.27,217400,True
202504,sell,False,600312,17.18,85400,True
202504,sell,False,600547,26.68,56500,True
202504,sell,False,600795,4.24,325700,True
202504,sell,False,600886,13.97,94400,True
202504,sell,False,605116,21.48,66100,True
202504,buy,False,600884,7.08,195100,True
202504,buy,False,002192,29.94,46100,True
202504,buy,False,600420,10.32,133800,True
202504,buy,False,600795,4.24,325800,True
202504,buy,False,600312,17.18,80400,True
202504,buy,False,000537,8.27,167000,True
202504,buy,False,600886,13.97,98900,True
202504,buy,False,002218,3.25,425100,True
202504,buy,False,600029,5.7,242300,True
202504,buy,False,600754,26.23,52600,True
202505,sell,False,000537,8.36,167000,True
202505,sell,False,002192,27.21,46100,True
202505,sell,False,002218,2.98,425100,True
202505,sell,False,600029,5.7,242300,True
202505,sell,False,600312,16.11,80400,True
202505,sell,False,600420,9.98,133800,True
202505,sell,False,600754,23.74,52600,True
202505,sell,False,600795,4.28,325800,True
202505,sell,False,600884,7.08,195100,True
202505,sell,False,600886,14.56,98900,True
202505,buy,False,601005,1.28,1046800,True
202505,buy,False,000525,6.85,195600,True
202505,buy,False,002816,12.36,108400,True
202505,buy,False,600106,5.33,251400,True
202505,buy,False,605081,11.3,118500,True
202505,buy,False,600537,2.82,475100,True
202505,buy,False,605365,13.74,97500,True
202506,sell,False,000525,7.22,195600,True
202506,sell,False,002816,18.88,108400,True
202506,sell,False,600106,5.96,251400,True
202506,sell,False,600537,2.8,475100,True
202506,sell,False,601005,1.27,1046800,True
202506,sell,False,605081,14.59,118500,True
202506,sell,False,605365,14.86,97500,True
202506,buy,False,000525,7.22,205200,True
202506,buy,False,002866,15.91,93100,True
202506,buy,False,601005,1.27,1166600,True
202506,buy,False,002816,18.88,78400,True
202506,buy,False,002387,8.83,167700,True
202506,buy,False,603078,17.73,83500,True
202506,buy,False,600537,2.8,529100,True
202507,sell,False,000525,7.47,205200,True
202507,sell,False,002387,9.74,167700,True
202507,sell,False,002816,19.18,78400,True
202507,sell,False,002866,18.3,93100,True
202507,sell,False,600537,2.94,529100,True
202507,sell,False,601005,1.28,1166600,True
202507,sell,False,603078,18.47,83500,True
202507,buy,False,601005,1.28,1204200,True
202507,buy,False,600368,4.23,364300,True
202507,buy,False,603719,12.26,125700,True
202507,buy,False,002387,9.74,158200,True
202508,sell,False,002387,9.36,158200,True
202508,sell,False,600368,4.29,364300,True
202508,sell,False,601005,1.54,1204200,True
202508,sell,False,603719,12.81,125700,True
202508,buy,False,603719,12.81,123000,True
202508,buy,False,600663,8.75,180000,True
202509,sell,False,600663,8.61,180000,True
202509,sell,False,603719,13.22,123000,True
202509,buy,False,603278,10.27,153600,True
202509,buy,False,600094,3.36,469700,True
202509,buy,False,600169,2.35,671600,True
202509,buy,False,002899,21.3,74000,True
202509,buy,False,002390,3.63,434700,True
202509,buy,False,002557,22.49,70100,True
202509,buy,False,600754,23.23,67900,True
202509,buy,False,002282,7.39,213500,True
202509,buy,False,002641,4.17,378400,True
202509,buy,False,002527,16.8,93900,True
202510,sell,False,002282,7.01,213500,True
202510,sell,False,002390,3.8,434700,True
202510,sell,False,002527,20.95,93900,True
202510,sell,False,002557,21.4,70100,True
202510,sell,False,002641,4.25,378400,True
202510,sell,False,002899,22.99,74000,True
202510,sell,False,600094,4.49,469700,True
202510,sell,False,600169,2.65,671600,True
202510,sell,False,600754,22.95,67900,True
202510,sell,False,603278,10.67,153600,True
202510,buy,False,002024,1.74,978100,True
202510,buy,False,002557,21.4,79500,True
202510,buy,False,600754,22.95,74100,True
202510,buy,False,600727,7.47,227800,True
202510,buy,False,002282,7.01,242700,True
202510,buy,False,600735,5.05,337000,True
202510,buy,False,002458,8.67,196200,True
202510,buy,False,600116,6.53,260600,True
202510,buy,False,002641,4.25,400400,True
202510,buy,False,000958,6.23,273100,True
202511,sell,False,000958,6.51,273100,True
202511,sell,False,002024,1.71,978100,True
202511,sell,False,002282,7.44,242700,True
202511,sell,False,002458,9.01,196200,True
202511,sell,False,002557,22.06,79500,True
202511,sell,False,002641,4.27,400400,True
202511,sell,False,600116,6.71,260600,True
202511,sell,False,600727,7.44,227800,True
202511,sell,False,600735,7.69,337000,True
202511,sell,False,600754,22.51,74100,True
202511,buy,False,603057,18.35,99100,True
202511,buy,False,001965,10.27,177100,True
202511,buy,False,603517,13.6,133700,True
202511,buy,False,000601,5.16,352600,True
202511,buy,False,600116,6.71,271100,True
202511,buy,False,600377,13.74,132400,True
202511,buy,False,600872,18.23,99800,True
202511,buy,False,600886,14.4,126300,True
202511,buy,False,600642,8.25,220500,True
202511,buy,False,600693,6.16,295300,True
