股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600419,202601,2.627874095412078,600419.SH,天润乳业,新疆,乳制品,新疆天润乳业股份有限公司,"Xinjiang Tianrun Dairy Co.,Ltd.",trry,主板,SSE,20010628,石河子国有资产经营(集团)有限公司,地方国企
603901,202601,2.627246347109692,603901.SH,永创智能,浙江,专用机械,杭州永创智能设备股份有限公司,"Hangzhou Youngsun Intelligent Equipment Co.,Ltd.",yczn,主板,SSE,20150529,罗邦毅,民营企业
600199,202601,2.626842310280486,600199.SH,金种子酒,安徽,白酒,安徽金种子酒业股份有限公司,"Anhui Golden Seed Winery Co.,Ltd.",jzzj,主板,SSE,19980812,阜阳市人民政府国有资产监督管理委员会,地方国企
603505,202601,2.626605671483531,603505.SH,金石资源,浙江,化工原料,金石资源集团股份有限公司,"China Kings Resources Group Co., Ltd.",jszy,主板,SSE,20170503,王锦华,民营企业
605108,202601,2.6257914851820705,605108.SH,同庆楼,安徽,酒店餐饮,同庆楼餐饮股份有限公司,TongQingLou Catering Corporation Limited.,tql,主板,SSE,20200716,沈基水,民营企业
002921,202601,2.6254204724886607,002921.SZ,联诚精密,山东,汽车配件,山东联诚精密制造股份有限公司,"Shandong Liancheng Precision Manufacturing Co., Ltd",lcjm,主板,SZSE,20171227,郭元强,外资企业
600173,202601,2.6251467719940846,600173.SH,卧龙新能,浙江,全国地产,卧龙新能源集团股份有限公司,"Wolong New Energy Group Co., Ltd.",wlxn,主板,SSE,19990415,黑龙江省牡丹江市人民政府国有资产监督管理委员会,地方国企
000514,202601,2.6250622478566474,000514.SZ,渝开发,重庆,区域地产,重庆渝开发股份有限公司,"Chongqing Yukaifa Co.,Ltd",ykf,主板,SZSE,19930712,重庆市国有资产监督管理委员会,地方国企
000707,202601,2.624283103887053,000707.SZ,双环科技,湖北,化工原料,湖北双环科技股份有限公司,"Hubei Shuanghuan Science and Technology Stock Co.,Ltd",shkj,主板,SZSE,19970415,宜昌市人民政府国有资产监督管理委员会,地方国企
002198,202601,2.6232963619217964,002198.SZ,嘉应制药,广东,中成药,广东嘉应制药股份有限公司,"Guangdong Jiaying Pharmaceutical Co.,Ltd",jyzy,主板,SZSE,20071218,黄小彪,民营企业
002068,202601,2.622980904233807,002068.SZ,黑猫股份,江西,化工原料,江西黑猫炭黑股份有限公司,"Jiangxi Black Cat Carbon Black Inc.,Ltd",hmgf,主板,SZSE,20060915,景德镇黑猫集团有限责任公司,地方国企
002021,202601,2.6229206647019443,002021.SZ,中捷资源,浙江,纺织机械,中捷资源投资股份有限公司,"Zoje Resources Investment Co.,Ltd.",zjzy,主板,SZSE,20040715,蔡开坚,民营企业
603999,202601,2.622596621003316,603999.SH,读者传媒,甘肃,出版业,读者出版传媒股份有限公司,"Duzhe Publish&Media Co.,Ltd",dzcm,主板,SSE,20151210,甘肃省人民政府,地方国企
002737,202601,2.622543497532776,002737.SZ,葵花药业,黑龙江,中成药,葵花药业集团股份有限公司,"Sunflower Pharmaceutical Group Co.,Ltd",khyy,主板,SZSE,20141230,关彦斌,民营企业
003042,202601,2.6216496453480325,003042.SZ,中农联合,山东,农药化肥,山东中农联合生物科技股份有限公司,"Shandong Sino-Agri United Biotechnology Co.,Ltd",znlh,主板,SZSE,20210406,中国供销集团有限公司,中央国企
600080,202601,2.6213215301645625,600080.SH,金花股份,陕西,中成药,金花企业(集团)股份有限公司,Ginwa Enterprise (Group) Inc.,jhgf,主板,SSE,19970612,吴一坚,民营企业
603928,202601,2.6212577090638365,603928.SH,兴业股份,江苏,化工原料,苏州兴业材料科技股份有限公司,"Suzhou Xingye Materials Technology Co., Ltd.",xygf,主板,SSE,20161212,王进兴,民营企业
601096,202601,2.620579860896054,601096.SH,宏盛华源,山东,钢加工,宏盛华源铁塔集团股份有限公司,"Hsino Tower Group Co., Ltd.",hshy,主板,SSE,20231222,国务院国有资产监督管理委员会,中央国企
605598,202601,2.620432717587477,605598.SH,上海港湾,上海,建筑工程,上海港湾基础建设(集团)股份有限公司,"Shanghai Geoharbour Construction Group Co., Ltd.",shgw,主板,SSE,20210917,徐士龙,民营企业
